city_id,hour,avg_sale,rank
0,20:00,0.00562130177514793,1
0,21:00,0.0038461538461538464,2
0,17:00,0.0029585798816568047,3
0,19:00,0.0023668639053254434,4
0,6:00,0.0020710059171597634,5
0,18:00,0.0020710059171597634,5
0,16:00,0.0014792899408284023,7
0,10:00,0.000591715976331361,8
0,11:00,0.000591715976331361,8
0,14:00,0.000591715976331361,8
0,13:00,0.0002958579881656805,11
0,15:00,0.0002958579881656805,11
0,7:00,0.0,13
0,8:00,0.0,13
0,9:00,0.0,13
0,12:00,0.0,13
2,6:00,0.0,1
2,7:00,0.0,1
2,8:00,0.0,1
2,9:00,0.0,1
2,10:00,0.0,1
2,11:00,0.0,1
2,12:00,0.0,1
2,13:00,0.0,1
2,14:00,0.0,1
2,15:00,0.0,1
2,16:00,0.0,1
2,17:00,0.0,1
2,18:00,0.0,1
2,19:00,0.0,1
2,20:00,0.0,1
2,21:00,0.0,1
3,11:00,0.0075,1
3,15:00,0.0075,1
3,18:00,0.005,3
3,17:00,0.0025,4
3,20:00,0.0025,4
3,21:00,0.0025,4
3,6:00,0.0,7
3,7:00,0.0,7
3,8:00,0.0,7
3,9:00,0.0,7
3,10:00,0.0,7
3,12:00,0.0,7
3,13:00,0.0,7
3,14:00,0.0,7
3,16:00,0.0,7
3,19:00,0.0,7
4,20:00,0.1,1
4,6:00,0.0,2
4,7:00,0.0,2
4,8:00,0.0,2
4,9:00,0.0,2
4,10:00,0.0,2
4,11:00,0.0,2
4,12:00,0.0,2
4,13:00,0.0,2
4,14:00,0.0,2
4,15:00,0.0,2
4,16:00,0.0,2
4,17:00,0.0,2
4,18:00,0.0,2
4,19:00,0.0,2
4,21:00,0.0,2
5,6:00,0.0,1
5,7:00,0.0,1
5,8:00,0.0,1
5,9:00,0.0,1
5,10:00,0.0,1
5,11:00,0.0,1
5,12:00,0.0,1
5,13:00,0.0,1
5,14:00,0.0,1
5,15:00,0.0,1
5,16:00,0.0,1
5,17:00,0.0,1
5,18:00,0.0,1
5,19:00,0.0,1
5,20:00,0.0,1
5,21:00,0.0,1
11,20:00,0.012000000000000002,1
11,12:00,0.004,2
11,21:00,0.004,2
11,6:00,0.0,4
11,7:00,0.0,4
11,8:00,0.0,4
11,9:00,0.0,4
11,10:00,0.0,4
11,11:00,0.0,4
11,13:00,0.0,4
11,14:00,0.0,4
11,15:00,0.0,4
11,16:00,0.0,4
11,17:00,0.0,4
11,18:00,0.0,4
11,19:00,0.0,4
12,18:00,0.002857142857142857,1
12,20:00,0.002857142857142857,1
12,21:00,0.002857142857142857,1
12,6:00,0.0,4
12,7:00,0.0,4
12,8:00,0.0,4
12,9:00,0.0,4
12,10:00,0.0,4
12,11:00,0.0,4
12,12:00,0.0,4
12,13:00,0.0,4
12,14:00,0.0,4
12,15:00,0.0,4
12,16:00,0.0,4
12,17:00,0.0,4
12,19:00,0.0,4
13,6:00,0.0,1
13,7:00,0.0,1
13,8:00,0.0,1
13,9:00,0.0,1
13,10:00,0.0,1
13,11:00,0.0,1
13,12:00,0.0,1
13,13:00,0.0,1
13,14:00,0.0,1
13,15:00,0.0,1
13,16:00,0.0,1
13,17:00,0.0,1
13,18:00,0.0,1
13,19:00,0.0,1
13,20:00,0.0,1
13,21:00,0.0,1
15,6:00,0.0,1
15,7:00,0.0,1
15,8:00,0.0,1
15,9:00,0.0,1
15,10:00,0.0,1
15,11:00,0.0,1
15,12:00,0.0,1
15,13:00,0.0,1
15,14:00,0.0,1
15,15:00,0.0,1
15,16:00,0.0,1
15,17:00,0.0,1
15,18:00,0.0,1
15,19:00,0.0,1
15,20:00,0.0,1
15,21:00,0.0,1
16,19:00,0.004,1
16,21:00,0.004,1
16,12:00,0.002,3
16,13:00,0.002,3
16,17:00,0.002,3
16,6:00,0.0,6
16,7:00,0.0,6
16,8:00,0.0,6
16,9:00,0.0,6
16,10:00,0.0,6
16,11:00,0.0,6
16,14:00,0.0,6
16,15:00,0.0,6
16,16:00,0.0,6
16,18:00,0.0,6
16,20:00,0.0,6
