Dropped_Feature,RMSE,Change_%
store_id,0.3133151598564338,9.540754079282586
avg_temperature,0.31196672263583314,9.069315576144552
stock_hour6_22_cnt,0.30806804423902656,7.706265758528039
product_id,0.29675225497336905,3.750057288659063
discount,0.28910697487000275,1.0771264670102747
activity_flag,0.28854925650993674,0.882137849946593
dayofweek,0.2883161264576493,0.8006312872325245
second_category_id,0.2873408817067426,0.45966774919263464
city_id,0.2868383023412201,0.2839567407969711
holiday_flag,0.28609848250764947,0.025302092585022414
management_group_id,0.28602611191599514,0.0
first_category_id,0.28587266985840465,-0.053646171170398924
third_category_id,0.2855048029197951,-0.18225923245538211
avg_humidity,0.28478583652131656,-0.43362313544395725
precpt,0.2845535921704344,-0.5148200406238447
avg_wind_level,0.28397303047137923,-0.7177951099859353
