store_id,management_group_id,first_category_id,second_category_id,third_category_id,product_id,dt,sale_amount,stock_hour6_22_cnt,discount,holiday_flag,activity_flag,precpt,avg_temperature,avg_humidity,avg_wind_level,imputed_sale_amount,is_imputed_b_class,imputed_method
10,0,5,6,65,441,2024-03-28,0.0,0,0.9070265293121338,0,1,1.2755,17.27,74.62,2.16,0.0,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-03-29,0.8,0,0.725,0,1,1.9738,15.38,76.76,2.27,13.6,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-03-30,0.6,0,0.725,1,1,1.4436,17.17,75.38,2.03,10.2,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-03-31,1.1,0,0.75,1,1,2.2029,17.87,76.82,1.94,18.700000000000003,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-01,0.6,0,0.725,0,1,3.2823,16.46,76.24,1.93,10.2,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-02,0.6,0,0.725,0,1,6.3745,16.4,76.53,2.18,10.2,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-03,0.4,0,0.725,0,1,3.0188,17.93,76.5,1.79,6.800000000000001,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-04,0.8,0,0.725,1,1,0.8211,17.07,73.94,2.73,13.6,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-05,0.2,0,0.725,1,1,1.0945,18.09,71.9,2.03,3.4000000000000004,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-06,0.8,0,0.725,1,1,2.7766,18.19,76.78,1.76,13.6,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-07,1.0,0,0.725,0,1,1.3476,17.12,78.92,1.67,17.0,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-08,1.5,0,0.742,0,1,1.3995,17.72,77.46,2.44,25.5,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-09,0.0,0,0.9070265293121338,0,1,2.6276,18.54,79.56,2.08,0.0,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-10,1.4,0,0.668,0,1,1.5019,17.87,77.27,2.01,23.8,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-11,0.6,0,0.668,0,1,1.8049,18.49,77.9,1.85,10.2,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-12,0.9,4,0.645,0,1,4.6046,18.95,79.79,2.0,1.2357142857142855,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-13,1.4,4,0.556,1,1,1.7633,19.55,80.87,1.93,1.9222222222222216,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-14,0.0,16,0.5561798214912415,1,1,2.357,18.68,77.03,2.61,0.0,0,A类_无需插补
10,0,5,6,65,441,2024-04-15,1.0,13,0.556,0,1,3.0264,18.86,74.97,2.01,1.0,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-16,0.0,16,0.5561798214912415,0,1,3.0433,19.36,74.11,2.41,0.0,0,A类_无需插补
10,0,5,6,65,441,2024-04-17,1.6,0,0.581,0,1,0.7315,19.71,74.25,2.57,27.200000000000003,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-18,1.4,11,0.556,0,1,1.5401,19.89,74.71,2.01,1.4,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-19,0.0,16,0.8022472262382507,0,1,0.7249,19.75,76.11,1.87,0.0,0,A类_无需插补
10,0,5,6,65,441,2024-04-20,3.7,0,0.569,1,1,1.617,19.88,75.16,2.06,62.900000000000006,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-21,0.1,12,1.0,1,1,2.4007,20.4,75.23,2.43,0.1,0,C类及以下_画像缩放(距离<1.5)
10,0,5,6,65,441,2024-04-22,2.1,1,0.625,0,1,1.5657,18.8,76.71,2.63,33.6,0,C类及以下_画像缩放(距离<1.5)
